Control ID,Control area,Control objective,Accountable owner,Operational owner,Approver,Consulted roles,Review frequency,Evidence,Escalation trigger,Status,Notes
AI-GOV-001,AI system inventory,Maintain a complete inventory of approved and discovered AI systems,Technology or Risk executive,AI governance lead,AI governance committee,"Security; Privacy; Procurement; Engineering",Quarterly,"Approved inventory export; review minutes",Unowned system or material inventory gap,Not started,Adapt roles to the organisation
AI-GOV-002,Tool approval,Approve AI tools and material use cases before production use,AI governance committee,AI governance lead,Technology or Risk executive,"Security; Privacy; Legal; Procurement; Data owner",Before approval and annually,"Assessment; decision record; approved tools register",Unapproved tool or material change,Not started,
AI-GOV-003,Data handling,Define and enforce permitted data classifications for each AI use,Data owner,Product or Engineering owner,Security or Privacy owner,"Legal; Compliance; Architecture",Before use and on change,"Data flow; classification decision; configuration evidence",Restricted data or unknown classification,Not started,
AI-GOV-004,Vendor due diligence,Assess provider security privacy resilience and contractual controls,Procurement or Risk executive,Vendor risk owner,Procurement or Risk approver,"Security; Privacy; Legal; Service owner",Before contract and annually,"Vendor questionnaire; contract; risk decision",Material control gap or adverse vendor event,Not started,
AI-GOV-005,Access management,Apply least privilege and timely access removal for AI systems,System owner,IAM or Platform team,System owner,"Security; HR; Service desk",Quarterly,"Access review; role mapping; removal records",Privileged access without owner or expired access,Not started,
AI-GOV-006,Logging and monitoring,Monitor high-risk AI use and protect logs from sensitive-data leakage,Security owner,Security operations or Platform team,System owner,"Privacy; Engineering; Data owner",Monthly,"Dashboard; alert rules; review record",Unexpected data exposure or unsafe automated action,Not started,
AI-GOV-007,Human oversight,Require human review for consequential or high-impact outputs,Business owner,Product or Operations owner,Business owner,"Risk; Legal; Compliance; Engineering",Per release and annually,"Procedure; sampled approvals; test evidence",Automated consequential action without approval,Not started,
AI-GOV-008,Incident response,Detect contain investigate and learn from AI-related incidents,Security executive,Incident response lead,Security executive,"Privacy; Legal; Communications; System owner",After exercises and incidents,"Playbook; exercise record; incident report",Suspected exposure compromise or unsafe action,Not started,
AI-GOV-009,Exceptions,Time-limit and review deviations from AI controls,Risk owner,AI governance lead,Risk approver,"Security; Privacy; Legal; Data owner",At approval and before expiry,"Exception request; compensating controls; expiry review",Expired exception or control failure,Not started,
AI-GOV-010,Periodic review,Reassess AI systems after material change and on schedule,System owner,AI governance lead,AI governance committee,"Security; Privacy; Vendor risk; Engineering",At least annually and on trigger,"Periodic review checklist; decision record",Material model provider data or capability change,Not started,
